language,metric,epoch_a,epoch_b,label,n,mean_a,mean_b,mean_diff,std_diff,cohens_d,t_stat,t_p,w_stat,w_p
HI,dist_after,1,3,HI:dist_after (ep1 vs ep3),323,1.214056,1.855834,-0.641779,0.413339,-1.5527,-27.8617,0.0,0.0,0.0
HI,cos_after,1,3,HI:cos_after (ep1 vs ep3),323,0.997869,0.994945,0.002925,0.003017,0.9694,17.3961,0.0,0.0,0.0
HI,norm_delta,1,3,HI:norm_delta (ep1 vs ep3),323,-0.123177,-0.172161,0.048983,0.264271,0.1854,3.326,0.000983,20200.0,0.000385
HI,common_mode,1,3,HI:common_mode (ep1 vs ep3),323,0.994301,0.983921,0.01038,0.013704,0.7574,13.5919,0.0,270.0,0.0
HI,dist_after,1,4,HI:dist_after (ep1 vs ep4),323,1.214056,2.070341,-0.856286,0.493539,-1.735,-31.1333,0.0,1.0,0.0
HI,cos_after,1,4,HI:cos_after (ep1 vs ep4),323,0.997869,0.993782,0.004087,0.003967,1.0301,18.4853,0.0,1.0,0.0
HI,norm_delta,1,4,HI:norm_delta (ep1 vs ep4),323,-0.123177,-0.219017,0.09584,0.33688,0.2845,5.105,1e-06,17415.0,0.0
HI,common_mode,1,4,HI:common_mode (ep1 vs ep4),323,0.994301,0.978951,0.01535,0.019526,0.7861,14.1066,0.0,222.0,0.0
VI,dist_after,1,3,VI:dist_after (ep1 vs ep3),262,0.939088,1.249078,-0.309991,0.304895,-1.0167,-16.4255,0.0,558.0,0.0
VI,cos_after,1,3,VI:cos_after (ep1 vs ep3),262,0.998429,0.997208,0.00122,0.001761,0.6931,11.1968,0.0,871.0,0.0
VI,norm_delta,1,3,VI:norm_delta (ep1 vs ep3),262,-0.026443,-0.018889,-0.007553,0.203183,-0.0372,-0.6006,0.548636,15978.0,0.309192
VI,common_mode,1,3,VI:common_mode (ep1 vs ep3),262,0.995923,0.991817,0.004107,0.007538,0.5448,8.8012,0.0,1177.5,0.0
