language,epoch,seed,mean_entropy,std_entropy,n_examples,status
HI,1,42,1.226405,0.295105,200,OK
HI,2,42,1.641408,0.361155,200,OK
HI,3,42,1.945333,0.409106,200,OK
HI,4,42,2.155059,0.439587,200,OK
HI,1,43,1.199622,0.296236,200,OK
HI,2,43,1.637095,0.372314,200,OK
HI,3,43,1.934864,0.413997,200,OK
HI,4,43,2.158027,0.449618,200,OK
HI,1,44,1.223124,0.297394,200,OK
HI,2,44,1.69907,0.386285,200,OK
HI,3,44,1.99351,0.430215,200,OK
HI,4,44,2.159815,0.458755,200,OK
VI,1,42,0.973456,0.270808,200,OK
VI,2,42,1.207467,0.346727,200,OK
VI,3,42,1.37756,0.395342,200,OK
VI,4,42,1.408725,0.401771,200,OK
VI,1,43,0.991186,0.27427,200,OK
VI,2,43,1.210662,0.35221,200,OK
VI,3,43,1.399001,0.40233,200,OK
VI,4,43,1.451633,0.417648,200,OK
VI,1,44,0.97318,0.270601,200,OK
VI,2,44,1.207029,0.350766,200,OK
VI,3,44,1.379711,0.397368,200,OK
VI,4,44,1.419528,0.407656,200,OK
